question_number,question,option1,option2,option3,option4,correct_answer,explanation
1,What is the purpose of the 'async' keyword in Python?,To create a new thread,To create a new process,To make a function asynchronous,To make a class asynchronous,To make a function asynchronous,"The 'async' keyword in Python is used to make a function asynchronous, which means that it can be executed concurrently with other tasks without blocking the event loop."
2,Which of the following is NOT a valid data type in JavaScript?,String,Number,Boolean,Array,Array,"Array is not a valid data type in JavaScript. Instead, JavaScript uses the 'Array' object, which is an array-like object that can contain any type of value."
3,What is the difference between '==' and '===' in JavaScript?,"'==' compares values, '===' compares values and types","'===' compares values, '==' compares values and types",They are the same operator,There is no difference,"'==' compares values, '===' compares values and types","The '==' operator in JavaScript compares only the values of the operands, while the '===' operator compares both the values and the types of the operands."
4,What is a closure in JavaScript?,A function that has access to the variables of its parent scope,A function that can be called from any scope,A function that is executed when a variable is declared,A function that is executed when a variable is undefined,A function that has access to the variables of its parent scope,"A closure in JavaScript is a function that has access to the variables of its parent scope, even after the parent scope has been executed."
5,What is the purpose of a React component?,To create a reusable UI component,To manage state,To handle events,All of the above,All of the above,"A React component is a reusable UI component that can be used to create complex user interfaces. It manages state, handles events, and can be used to create custom functionality."
6,What is the difference between a class and a function in Python?,"A class is a blueprint for creating objects, a function is a reusable block of code","A function is a blueprint for creating classes, a class is a reusable block of code",They are the same thing,There is no difference,"A class is a blueprint for creating objects, a function is a reusable block of code","A class in Python is a blueprint for creating objects, while a function is a reusable block of code that can be executed independently."
7,What is the purpose of the 'self' parameter in Python methods?,To refer to the current object,To refer to the parent class,To refer to the child class,To refer to the global scope,To refer to the current object,"The 'self' parameter in Python methods refers to the current object, which allows the method to access the object's attributes and methods."
8,What is the difference between 'list' and 'tuple' in Python?,"Lists are mutable, tuples are immutable","Tuples are mutable, lists are immutable",They are the same thing,There is no difference,"Lists are mutable, tuples are immutable","Lists in Python are mutable, which means that they can be modified after they are created, while tuples are immutable and cannot be modified after they are created."
9,What is the purpose of the 'yield' keyword in Python generators?,To pause the execution of a generator,To resume the execution of a generator,To return a value from a generator,To stop the execution of a generator,To pause the execution of a generator,The 'yield' keyword in Python generators is used to pause the execution of a generator and return a value to the caller.
10,What is the difference between supervised and unsupervised machine learning?,"Supervised learning uses labeled data, unsupervised learning uses unlabeled data","Unsupervised learning uses labeled data, supervised learning uses unlabeled data",They are the same thing,There is no difference,"Supervised learning uses labeled data, unsupervised learning uses unlabeled data","Supervised machine learning uses labeled data to train a model, while unsupervised machine learning uses unlabeled data to find patterns and structures in the data."
